工程集計ｺｰﾄﾞ,WBS,ﾈｯﾄﾜｰｸ,客先,向先,客先工番,製品名/指図名,管理備考,仕様他,納期,完成日,工程計画内外区分,部品NO,部品名称,工程NO,作業工程ID,作業工程名称,作業者ID,作業者名称,作業者必要量,作業工数,工数確認,全体作業LT,作業区分,工程NO変更ロックフラグ,資源引当ON/OFF,確定フラグ,部品数量,基本工区NO,基本工区名称,前段取工数,後段取工数,必要量計算方法,作業工程備考1,作業工程備考2,作業工程備考3,備考集計用,アクティビティの開始可能日(工程計画),アクティビティの目標終了日(工程計画),エラーメッセージ
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,,,,,,,,,,,未確認,,,,,,,,,,,,,,,,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,,000,部品なし,,,,,,,,未確認,,,,,,1,,,,,,,,,,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,,A001,設計,,,,,,,,未確認,,,,,,1,,,,,,,,,,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,,A001,設計,,,,,,,,未確認,,,,,,1,1,設計,,,,,,,,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,内製,A001,設計,1002,1002,基本設計(海配),A1000,主配チーム,1.0000,      66 時間 00 分,未確認,      66 時間 00 分,2: 有人作業,OFF,OFF,確定,1,1,設計,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,01 MP設計,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,内製,A001,設計,1091,1091,仕様,A1091,仕様(ﾀﾞﾐｰ),0.0020,       0 時間 01 分,未確認,       8 時間 20 分,2: 有人作業,OFF,ON,確定,1,1,設計,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,01 MP設計,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,内製,A001,設計,1092,1092,承認,A1092,承認(ﾀﾞﾐｰ),0.0020,       0 時間 01 分,未確認,       8 時間 20 分,2: 有人作業,OFF,ON,確定,1,1,設計,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,01 MP設計,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,,A001,設計,,,,,,,,未確認,,,,,,1,3,生設,,,,,,,,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,内製,A001,設計,1093,1093,出図,A1093,出図(ﾀﾞﾐｰ),0.0020,       0 時間 01 分,未確認,       8 時間 20 分,2: 有人作業,OFF,ON,確定,1,3,生設,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S301136-10-A1001000,,波造,波造,SNO.301,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,,S001,ｿﾌﾄ,,,,,,,,未確認,,,,,,1,,,,,,,,,,,,
