所属ID,所属名称,資源ID,資源名称,日程計画レベル共通使用区分,資源区分,資源内外区分,ワークパターンNO,実績工数計算用ワークパターンNO,保有量,資源備考1,資源備考2,資源備考3,資源備考4,資源備考5,実績データ出力対象,所属表示順,資源表示順,削除フラグ
A01,MP配電課主配ﾁｰﾑ,A1000,主配チーム,2,2,内,11000,99990,9.0000,,,,,,,1,21,0
A02,MP配電課始動器ﾁｰﾑ,A1050,始動器チーム,2,2,内,11050,99990,7.0000,,,,,,,2,53,0
A03,MP計装課,A1100,MP計装,2,2,内,11100,99990,16.0000,,,,,,,3,85,0
A04,MPｴﾝｼﾞﾆｱﾘﾝｸﾞ課,A1200,MPエンジニアリング,2,2,内,11200,99990,9.0000,,,,,,,4,101,0
A05,IP設計課,A1300,IP設計,2,2,内,11300,99990,17.0000,,,,,,,5,125,0
A06,IPｴﾝｼﾞﾆｱﾘﾝｸﾞ課,A1350,IPエンジニアリング,2,2,内,11350,99990,3.0000,,,,,,,6,137,0
K01,生産設計課,K1000,生産設計,2,2,内,31000,99990,10.0000,,,,,,,7,153,0
B01,工作課ﾊﾟﾈﾙﾁｰﾑ,B1000,ﾊﾟﾈﾙﾁｰﾑ,2,2,内,40100,99990,10.7500,,,,,,,9,186,0
B02,工作課枠組ﾁｰﾑ,B1010,MSB・GSP枠組ﾁｰﾑ,2,2,内,41010,99990,6.0000,,,,,,,10,216,0
B02,工作課枠組ﾁｰﾑ,B1011,ECC枠組ﾁｰﾑ,2,2,内,41011,99990,5.0000,,,,,,,10,217,0
B02,工作課枠組ﾁｰﾑ,B1012,IP枠組ﾁｰﾑ,2,2,内,41012,99990,4.0000,,,,,,,10,218,0
C01,工作課塗装ﾁｰﾑ,C1010,塗装ﾁｰﾑ,2,2,内,51010,99990,6.0000,,,,,,,11,221,0
J01,MP組立二課弱電組立,J1000,ｵｰﾀﾞ弱電組立,2,2,内,61000,99990,1.0000,,,,,,,13,241,0
J01,MP組立二課弱電組立,J1020,指図ﾞ弱電組立,2,2,内,61020,99990,3.0000,,,,,,,13,242,0
J02,MP組立二課弱電検査,J1010,ｵｰﾀﾞ弱電検査,2,2,内,61010,99990,4.0000,,,,,,,14,250,0
J02,MP組立二課弱電検査,J1030,指図弱電検査,2,2,内,61030,99990,1.0000,,,,,,,14,251,0
J03,高松分工場弱電組立,J3000,高松分工場弱電組立,2,2,内,60300,99990,5.0000,,,,,,,15,253,0
J04,高松分工場弱電検査,J4000,高松分工場弱電検査,2,2,内,60400,99990,3.0000,,,,,,,16,254,0
D01,MP組立一課配電ﾁｰﾑ,D1000,MSB枠組器具付,2,2,内,71000,99990,4.0000,,,,,,,17,315,0
D01,MP組立一課配電ﾁｰﾑ,D1001,MSB配線,2,2,内,71001,99990,8.0000,,,,,,,17,316,0
D01,MP組立一課配電ﾁｰﾑ,D1002,MSBチェック仕上,2,2,内,71002,99990,1.0000,,,,,,,17,317,0
D01,MP組立一課配電ﾁｰﾑ,D1003,配電銘板取付,2,2,内,71003,99990,1.0000,,,,,,,17,318,0
D01,MP組立一課配電ﾁｰﾑ,D1004,主配付GSP枠組器具付,2,2,内,71004,99990,4.0000,,,,,,,17,319,0
D01,MP組立一課配電ﾁｰﾑ,D1005,主配付GSP配線,2,2,内,71005,99990,6.0000,,,,,,,17,320,0
D01,MP組立一課配電ﾁｰﾑ,D1006,主配付GSPﾁｪｯｸ仕上,2,2,内,71006,99990,1.0000,,,,,,,17,321,0
D01,MP組立一課配電ﾁｰﾑ,D1008,自立GSP枠組器具付,2,2,内,71008,99990,1.0000,,,,,,,17,322,0
D01,MP組立一課配電ﾁｰﾑ,D1009,自立GSP配線,2,2,内,71009,99990,2.0000,,,,,,,17,323,0
D01,MP組立一課配電ﾁｰﾑ,D1010,自立GSPﾁｪｯｸ仕上,2,2,内,71010,99990,1.0000,,,,,,,17,324,0
D01,MP組立一課配電ﾁｰﾑ,D1012,高圧枠組器具付,2,2,内,71012,99990,3.0000,,,,,,,17,325,0
D01,MP組立一課配電ﾁｰﾑ,D1013,高圧配線,2,2,内,71013,99990,5.0000,,,,,,,17,326,0
D01,MP組立一課配電ﾁｰﾑ,D1014,高圧ﾁｪｯｸ仕上,2,2,内,71014,99990,2.0000,,,,,,,17,327,0
D02,MP組立一課小型ﾁｰﾑ,D1100,小物枠組器具付,2,2,内,71100,99990,4.0000,,,,,,,18,376,0
D02,MP組立一課小型ﾁｰﾑ,D1101,小物配線,2,2,内,71101,99990,16.0000,,,,,,,18,377,0
D02,MP組立一課小型ﾁｰﾑ,D1102,小物ﾁｪｯｸ仕上,2,2,内,71102,99990,2.0000,,,,,,,18,378,0
D02,MP組立一課小型ﾁｰﾑ,D1103,小物銘板取付,2,2,内,71103,99990,0.5000,,,,,,,18,379,0
